סימול אוסף	קרדיט עברית	קרדיט אנגלית
POrWe	"אוסף אורן ויינברג באדיבות ארכיון קיבוץ יגור זמין דיגיטלית במסגרת שיתוף הפעולה בין בצלאל אקדמיה לאומנות ועיצוב ובין הספרייה הלאומית וספריית אוניברסיטת הארוורד. 
"	"The Oren Weinberg's Archive, courtesy of Kibbutz Yagur, has been digitized in the framework of a collaborative initiative betweenThe National Library of Israel, Bezalel School of Arts and Harvard University Library."	"'POrWe': '$$aאוסף אורן ויינברג באדיבות ארכיון קיבוץ יגור זמין דיגיטלית במסגרת שיתוף הפעולה בין בצלאל אקדמיה לאומנות ועיצוב ובין הספרייה הלאומית וספריית אוניברסיטת הארוורד. $$bThe Oren Weinberg's Archive, courtesy of Kibbutz Yagur, has been digitized in the framework of a collaborative initiative betweenThe National Library of Israel, Bezalel School of Arts and Harvard University Library.',"
PAlAv	"אוסף אלפרד אברהם באדיבות אברהם ר.מ. אדריכלים ומתכנני ערים בע""מ זמין דיגיטלית במסגרת שיתוף הפעולה בין בצלאל אקדמיה לאומנות ועיצוב ובין הספרייה הלאומית וספריית אוניברסיטת הארוורד. 
"	"The Alfred Avraham's Archive, courtesy of Avraham R. M Architects and city planners inc., has been digitized in the framework of a collaborative initiative betweenThe National Library of Israel, Bezalel School of Arts and Harvard University Library."	
PBaGiMe	"אוסף ברוך וגילה משולם באדיבות ארכיון אדריכלות ישראל (אא""י ע""ר) זמין דיגיטלית במסגרת שיתוף הפעולה בין בצלאל אקדמיה לאומנות ועיצוב ובין הספרייה הלאומית וספריית אוניברסיטת הארוורד. 
"	"The Baruch and Gila Meshulam's Archive, courtesy of The Israel Architecture Archive (IAA) has been digitized in the framework of a collaborative initiative betweenThe National Library of Israel, Bezalel School of Arts and Harvard University Library."	
ArGeZi	"אוסף גרשון ציפור באדיבות ברק וגרשון ציפור אדריכלים ומתכנני ערים בע""מ, זמין דיגיטלית במסגרת שיתוף הפעולה בין בצלאל אקדמיה לאומנות ועיצוב ובין הספרייה הלאומית וספריית אוניברסיטת הארוורד. 
"	"The Gershon Zippor Architect's Archive, courtesy of Barak and Gershon Zippor Architects and city planners inc., has been digitized in the framework of a collaborative initiative betweenThe National Library of Israel, Bezalel School of Arts and Harvard University Library."
ArBe	"אוסף דוד בסט באדיבות אהוד בסט, זמין דיגיטלית במסגרת שיתוף הפעולה בין בצלאל אקדמיה לאומנות ועיצוב ובין הספרייה הלאומית וספריית אוניברסיטת הארוורד. 
"	"The David best's Archive, courtesy of Ehud best., has been digitized in the framework of a collaborative initiative betweenThe National Library of Israel, Bezalel School of Arts and Harvard University Library."	
PDoGa	"אוסף דורה גד באדיבות אוספי ארכיוני המכללה למנהל
זמין דיגיטלית במסגרת שיתוף פעולה בין בצלאל אקדמיה לאמנות ועיצוב ובין הספרייה הלאומית וספריית אונברסיטת הארוורד."	"The Dora Gad's Archive, courtesy of The college of Management archives, has been digitized in the framework of a collaborative initiative betweenThe National Library of Israel, Bezalel School of Arts and Harvard University Library."	
PZvHe	אוסף צבי הקר זמין דיגיטלית במסגרת שיתוף פעולה בין בצלאל אקדמיה לאמנות ועיצוב ובין הספרייה הלאומית וספריית אוניברסיטת הארוורד.	"The Zvi Hacker's Archive has been digitized in the framework of a collaborative initiative betweenThe National Library of Israel, Bezalel School of Arts and Harvard University Library."	
ArKo	אוסף ויטוריו קורינלדי זמין דיגיטלית במסגרת שיתוף פעולה בין בצלאל אקדמיה לאמנות ועיצוב ובין הספרייה הלאומית וספריית אוניברסיטת הארוורד.	"The Vittorio Corinaldi's Archive has been digitized in the framework of a collaborative initiative betweenThe National Library of Israel, Bezalel School of Arts and Harvard University Library."	
PZiAr	"אוסף זיוה ארמוני באדיבות ארכיון אדריכלות ישראל (אא""י ע""ר) זמין דיגיטלית במסגרת שיתוף הפעולה בין בצלאל אקדמיה לאומנות ועיצוב ובין הספרייה הלאומית וספריית אוניברסיטת הארוורד. 
"	"The Ziva Armoni's Archive, courtesy of The Israel Architecture Archive (IAA) has been digitized in the framework of a collaborative initiative betweenThe National Library of Israel, Bezalel School of Arts and Harvard University Library."	
ArZa	"אוסף זרחי אדריכלים בע""מ זמין דיגיטלית במסגרת שיתוף פעולה בין בצלאל אקדמיה לאמנות ועיצוב ובין הספרייה הלאומית וספריית אוניברסיטת הארוורד."	"The Zarchi architects's Archive has been digitized in the framework of a collaborative initiative betweenThe National Library of Israel, Bezalel School of Arts and Harvard University Library."	
